date,symbol,veto_reason,strategy,regime,tier,notional,nav
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,183.03527629854716,10027.314534950001
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,183.03527629854716,10027.31353495
2026-02-01,ETHUSDT,symbol_cap,vol_target,MEAN_REVERT,None,183.03527629854716,None
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,85.63468693210544,10027.314534950001
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,85.63468693210544,10027.31353495
2026-02-01,SOLUSDT,symbol_cap,vol_target,MEAN_REVERT,None,85.63468693210544,None
2026-02-01,BTCUSDT,symbol_cap,unknown,unknown,CORE,211.50102545489966,10027.424534950002
2026-02-01,BTCUSDT,symbol_cap,unknown,unknown,CORE,211.50102545489966,10027.424534950002
2026-02-01,BTCUSDT,symbol_cap,vol_target,MEAN_REVERT,None,211.50102545489966,None
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,183.00857111873873,10027.42853495
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,183.00857111873873,10027.42853495
2026-02-01,ETHUSDT,symbol_cap,vol_target,MEAN_REVERT,None,183.00857111873873,None
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,85.78986018893477,10027.43253495
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,85.78986018893477,10027.42953495
2026-02-01,SOLUSDT,symbol_cap,vol_target,MEAN_REVERT,None,85.78986018893477,None
2026-02-01,SOLUSDT,min_notional,unknown,unknown,SATELLITE,0.0,10027.43153495
2026-02-01,BTCUSDT,symbol_cap,unknown,unknown,CORE,210.51762039783023,10025.889534950002
2026-02-01,BTCUSDT,symbol_cap,unknown,unknown,CORE,210.51762039783023,10025.889534950002
2026-02-01,BTCUSDT,symbol_cap,vol_target,MEAN_REVERT,None,210.51762039783023,None
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,195.0654186273424,10025.91153495
2026-02-01,ETHUSDT,symbol_cap,unknown,unknown,CORE,195.0654186273424,10025.889534950002
2026-02-01,ETHUSDT,symbol_cap,vol_target,MEAN_REVERT,None,195.0654186273424,None
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,143.40436823698673,10025.82053495
2026-02-01,SOLUSDT,symbol_cap,unknown,unknown,SATELLITE,143.40436823698673,10025.82053495
