ts,symbol,signal,permit,reason
1767226500,BTCUSDT,ENTER_LONG,True,allowed
1767226500,ETHUSDT,ENTER_LONG,True,allowed
1767226500,SOLUSDT,ENTER_LONG,True,allowed
1767243600,BTCUSDT,EXIT_LONG,True,exit
1767243600,ETHUSDT,EXIT_LONG,True,exit
1767243600,SOLUSDT,EXIT_LONG,True,exit
1767261600,BTCUSDT,ENTER_LONG,True,allowed
1767261600,ETHUSDT,ENTER_LONG,True,allowed
1767261600,SOLUSDT,ENTER_LONG,True,allowed
1767279600,BTCUSDT,EXIT_LONG,True,exit
1767279600,ETHUSDT,EXIT_LONG,True,exit
1767279600,SOLUSDT,EXIT_LONG,True,exit
1767297600,BTCUSDT,ENTER_LONG,True,allowed
1767297600,ETHUSDT,ENTER_LONG,True,allowed
1767297600,SOLUSDT,ENTER_LONG,True,allowed
