ts,nav,cash_nav,unrealized
1767225600,10000.0,10000.0,0.0
1767226500,10000.0,10000.0,0.0
1767227400,10000.0,10000.0,0.0
1767228300,9999.64004319,9999.77500169,-0.1349585
1767229200,10002.09135542,9999.77500169,2.31635373
1767230100,10004.70738091,9999.77500169,4.93237922
1767231000,10007.4613027,9999.77500169,7.68630101
1767231900,10010.36437783,9999.77500169,10.58937614
1767232800,10013.37810255,9999.77500169,13.60310086
1767233700,10016.50045488,9999.77500169,16.72545319
1767234600,10019.71005544,9999.77500169,19.93505375
1767235500,10022.99311454,9999.77500169,23.21811285
1767236400,10026.30645205,9999.77500169,26.53145037
1767237300,10029.65516318,9999.77500169,29.88016149
1767238200,10032.99428461,9999.77500169,33.21928292
1767239100,10036.31882347,9999.77500169,36.54382178
1767240000,10039.60333565,9999.77500169,39.82833396
1767240900,10042.81316275,9999.77500169,43.03816106
1767241800,10045.93441475,9999.77500169,46.15941306
1767242700,10048.94339512,9999.77500169,49.16839343
1767243600,10051.8280294,9999.77500169,52.05302771
1767244500,10054.56708383,9999.77500169,54.79208214
1767245400,10057.14182306,9999.77500169,57.36682138
1767246300,10059.55442577,9999.77500169,59.77942408
1767247200,10061.78841226,9999.77500169,62.01341058
1767248100,10063.84106085,9999.77500169,64.06605917
1767249000,10065.70238379,9999.77500169,65.9273821
1767249900,10067.38333322,9999.77500169,67.60833153
1767250800,10068.88615512,9999.77500169,69.11115343
1767251700,10070.21624108,9999.77500169,70.44123939
1767252600,10071.38977306,9999.77500169,71.61477137
1767253500,10072.41581903,9999.77500169,72.64081735
1767254400,10073.30512662,9999.77500169,73.53012493
1767255300,10074.08928948,9999.77500169,74.31428779
1767256200,10074.77197363,9999.77500169,74.99697194
1767257100,10075.38728082,9999.77500169,75.61227914
1767258000,10075.95132763,9999.77500169,76.17632594
1767258900,10076.48914714,9999.77500169,76.71414545
1767259800,10077.03736218,9999.77500169,77.26236049
1767260700,10077.60202064,9999.77500169,77.82701895
1767261600,10078.22009807,9999.77500169,78.44509638
1767262500,10078.90627737,9999.77500169,79.13127568
1767263400,10079.69575093,9999.77500169,79.92074924
1767264300,10080.60322752,9999.77500169,80.82822583
1767265200,10081.64158745,9999.77500169,81.86658577
1767266100,10082.84193571,9999.77500169,83.06693403
1767267000,10084.20553377,9999.77500169,84.43053209
1767267900,10085.76070668,9999.77500169,85.985705
1767268800,10087.50453791,9999.77500169,87.72953622
1767269700,10089.46278938,9999.77500169,89.68778769
1767270600,10091.6183691,9999.77500169,91.84336741
1767271500,10093.98552049,9999.77500169,94.2105188
1767272400,10096.57345784,9999.77500169,96.79845615
1767273300,10099.36985683,9999.77500169,99.59485514
