ts,nav,cash_nav,unrealized
1767225600,100000.0,100000.0,0.0
1767226500,99993.25122567,99995.5000675,-2.24884183
1767227400,100032.0079432,99995.5000675,36.5078757
1767228300,100072.25578861,99995.5000675,76.75572111
1767229200,100114.19520414,99995.5000675,118.69513664
1767230100,100157.81208723,99995.5000675,162.31201973
1767231000,100202.98637588,99995.5000675,207.48630838
1767231900,100134.55647528,100134.55647528,0.0
1767232800,100127.79862004,100130.05048783,-2.25186779
1767233700,100077.63146717,100077.63146717,0.0
1767234600,100070.87745367,100073.12804131,-2.25058764
1767235500,100118.89737661,100073.12804131,45.76933531
1767236400,100168.00489324,100073.12804131,94.87685194
1767237300,100218.03875224,100073.12804131,144.91071093
1767238200,100269.0144946,100073.12804131,195.88645329
1767239100,100320.66692194,100073.12804131,247.53888064
1767240000,100372.90403123,100073.12804131,299.77598992
1767240900,100308.00107654,100308.00107654,0.0
1767241800,100301.23151591,100303.4872842,-2.25576829
1767242700,100253.20433022,100253.20433022,0.0
1767243600,100246.4384677,100248.6930037,-2.25453599
1767244500,100294.12879614,100248.6930037,45.43579244
1767245400,100341.65891011,100248.6930037,92.96590641
1767246300,100388.76419361,100248.6930037,140.07118992
1767247200,100435.44932915,100248.6930037,186.75632546
1767248100,100481.46030227,100248.6930037,232.76729857
1767249000,100526.71837089,100248.6930037,278.02536719
1767249900,100453.98574315,100453.98574315,0.0
1767250800,100447.20633035,100449.4653816,-2.25905125
1767251700,100389.60610537,100389.60610537,0.0
1767252600,100382.8310374,100385.08864086,-2.25760345
1767253500,100419.48452983,100385.08864086,34.39588897
1767254400,100455.17701392,100385.08864086,70.08837307
1767255300,100489.64017522,100385.08864086,104.55153437
1767256200,100523.12552725,100385.08864086,138.03688639
1767257100,100555.46529334,100385.08864086,170.37665249
1767258000,100586.76127823,100385.08864086,201.67263738
1767258900,100501.46233373,100501.46233373,0.0
1767259800,100494.67971684,100496.93983576,-2.26011892
1767260700,100424.4713316,100424.4713316,0.0
