symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
BTCUSDT,1767226500,1767231900,66096.81189,68206.609635,0.02269398,47.87971654,3.04787972,44.83183682,signal
ETHUSDT,1767226500,1767231900,3559.05864,3672.66275,0.42145344,47.87884273,3.04783384,44.83100889,signal
SOLUSDT,1767226500,1767231900,152.526225,157.40126,9.83407935,47.94148105,3.04785148,44.89362957,signal
BTCUSDT,1767232800,1767233700,69104.524995,68369.25827,0.02173546,-15.98135739,2.98805534,-18.96941272,signal
ETHUSDT,1767232800,1767233700,3721.009575,3681.41837,0.40365277,-15.98109951,2.98801053,-18.96911004,signal
SOLUSDT,1767232800,1767233700,159.469695,157.771075,9.41854994,-15.99853731,2.98794804,-18.98648534,signal
BTCUSDT,1767234600,1767240900,69157.931685,72838.88234,0.02170632,79.89990753,3.08222885,76.81767868,signal
ETHUSDT,1767234600,1767240900,3723.891015,3922.09797,0.40311114,79.89943171,3.08218334,76.81724836,signal
SOLUSDT,1767234600,1767240900,159.59976,168.085915,9.4055244,79.81673794,3.08205561,76.73468233,signal
BTCUSDT,1767241800,1767242700,73853.88849,73104.16963,0.02037293,-15.273969,2.99396606,-18.26793506,signal
ETHUSDT,1767241800,1767242700,3976.74738,3936.380825,0.37834876,-15.2726361,2.99392226,-18.26655836,signal
SOLUSDT,1767241800,1767242700,170.435175,168.705605,8.82784248,-15.26837152,2.99388138,-18.2622529,signal
BTCUSDT,1767243600,1767249900,73962.34269,77405.61783,0.02033194,70.00847059,3.0776046,66.93086598,signal
ETHUSDT,1767243600,1767249900,3982.5903,4167.99496,0.3775873,70.00644449,3.07755746,66.92888703,signal
SOLUSDT,1767243600,1767249900,170.6853,178.63064,8.81009057,69.99916498,3.07750507,66.92165991,signal
BTCUSDT,1767250800,1767251700,78335.758305,77374.543375,0.01923527,-18.48923269,2.99513034,-21.48436303,signal
ETHUSDT,1767250800,1767251700,4218.077985,4166.325795,0.35722127,-18.48698315,2.99508738,-21.48207054,signal
SOLUSDT,1767250800,1767251700,180.77034,178.560675,8.33524229,-18.41809315,2.99511107,-21.41320422,signal
BTCUSDT,1767252600,1767258900,78104.35266,80196.78155,0.0192799,40.34181929,3.05203,37.28978929,signal
ETHUSDT,1767252600,1767258900,4205.62176,4318.289775,0.35804967,40.34074614,3.05198375,37.28876239,signal
SOLUSDT,1767252600,1767258900,180.240075,185.06742,8.35440685,40.32960412,3.05192744,37.27767668,signal
BTCUSDT,1767259800,1767260700,80932.435995,79714.50281,0.01862692,-22.68634286,2.99235753,-25.67870039,signal
ETHUSDT,1767259800,1767260700,4357.89786,4292.322765,0.34592351,-22.683967,2.99231468,-25.67628168,signal
SOLUSDT,1767259800,1767260700,186.763335,183.957975,8.07158809,-22.64371035,2.99230971,-25.63602006,signal
BTCUSDT,1767261600,1767267900,80251.44567,81233.88274,0.01877059,18.4409245,3.03117506,15.40974943,signal
ETHUSDT,1767261600,1767267900,4321.229535,4374.13184,0.34859164,18.44130106,3.03113025,15.41017081,signal
