ts,nav,cash_nav,unrealized
1776384000,10000.0,10000.0,0.0
1776384900,10000.0,10000.0,0.0
1776385800,10000.0,10000.0,0.0
1776386700,10000.0,10000.0,0.0
1776387600,10000.0,10000.0,0.0
1776388500,10000.0,10000.0,0.0
1776389400,10000.0,10000.0,0.0
1776390300,9999.64004319,9999.77500169,-0.1349585
1776391200,9998.61170384,9998.61170384,0.0
1776392100,9998.61170384,9998.61170384,0.0
1776393000,9998.37176505,9998.46172523,-0.08996018
1776393900,9998.26053236,9998.245644,0.01488836
1776394800,9997.99647526,9997.99647526,0.0
1776395700,9997.99647526,9997.99647526,0.0
1776396600,9997.75655123,9997.84650587,-0.08995464
1776397500,9997.18389741,9997.18389741,0.0
1776398400,9997.18389741,9997.18389741,0.0
1776399300,9997.18389741,9997.18389741,0.0
1776400200,9997.18389741,9997.18389741,0.0
1776401100,9997.18389741,9997.18389741,0.0
1776402000,9997.18389741,9997.18389741,0.0
1776402900,9997.18389741,9997.18389741,0.0
1776403800,9997.18389741,9997.18389741,0.0
1776404700,9997.18389741,9997.18389741,0.0
1776405600,9997.18389741,9997.18389741,0.0
1776406500,9997.18389741,9997.18389741,0.0
1776407400,9997.18389741,9997.18389741,0.0
1776408300,9997.18389741,9997.18389741,0.0
1776409200,9997.18389741,9997.18389741,0.0
1776410100,9997.18389741,9997.18389741,0.0
1776411000,9997.18389741,9997.18389741,0.0
1776411900,9997.18389741,9997.18389741,0.0
1776412800,9997.18389741,9997.18389741,0.0
1776413700,9997.18389741,9997.18389741,0.0
1776414600,9997.18389741,9997.18389741,0.0
1776415500,9997.18389741,9997.18389741,0.0
1776416400,9996.94399288,9997.03394022,-0.08994733
1776417300,9997.64265332,9996.95896246,0.68369086
1776418200,9994.59911381,9994.59911381,0.0
1776419100,9994.47919211,9994.52415431,-0.04496221
1776420000,9993.59914203,9993.59914203,0.0
1776420900,9993.59914203,9993.59914203,0.0
1776421800,9993.59914203,9993.59914203,0.0
1776422700,9993.47923233,9993.52419004,-0.04495771
1776423600,9993.61604303,9993.52419004,0.091853
1776424500,9994.00937382,9993.52419004,0.48518379
1776425400,9994.0435765,9993.52419004,0.51938646
1776426300,9994.36850193,9993.52419004,0.84431189
1776427200,9994.09384178,9994.13879915,-0.04495737
1776428100,9994.25735043,9994.13879915,0.11855128
1776429000,9993.95299945,9993.95299945,0.0
1776429900,9993.95299945,9993.95299945,0.0
1776430800,9993.71317246,9993.80309072,-0.08991826
1776431700,9993.94369291,9993.35440586,0.58928705
1776432600,9994.16845164,9993.2045061,0.96394553
1776433500,9997.00984513,9993.2045061,3.80533903
1776434400,9995.21705486,9995.21705486,0.0
1776435300,9995.21705486,9995.21705486,0.0
1776436200,9995.09712575,9995.14209074,-0.04496499
1776437100,9994.8653954,9994.8653954,0.0
1776438000,9994.8653954,9994.8653954,0.0
1776438900,9994.7454705,9994.79043391,-0.04496341
1776439800,9994.15987518,9994.15987518,0.0
1776440700,9994.15987518,9994.15987518,0.0
1776441600,9994.15987518,9994.15987518,0.0
1776442500,9993.92004322,9994.00996334,-0.08992013
1776443400,9993.57801399,9993.57801399,0.0
1776444300,9993.45810454,9993.50306215,-0.04495761
1776445200,9992.27755534,9992.27755534,0.0
1776446100,9992.27755534,9992.27755534,0.0
1776447000,9992.1576615,9992.20261326,-0.04495176
1776447900,9992.21492214,9992.12767174,0.08725039
1776448800,9989.95338111,9989.95338111,0.0
1776449700,9989.95338111,9989.95338111,0.0
1776450600,9989.83351515,9989.87845646,-0.04494131
1776451500,9989.3952877,9989.3952877,0.0
1776452400,9989.3952877,9989.3952877,0.0
1776453300,9989.3952877,9989.3952877,0.0
1776454200,9989.3952877,9989.3952877,0.0
1776455100,9989.27542844,9989.32036724,-0.0449388
1776456000,9989.49499117,9989.32036724,0.17462393
1776456900,9989.07745504,9989.07745504,0.0
1776457800,9989.07745504,9989.07745504,0.0
1776458700,9988.9575996,9989.00253696,-0.04493737
1776459600,9989.21019862,9989.00253696,0.20766166
1776460500,9989.05653314,9989.05653314,0.0
1776461400,9989.05653314,9989.05653314,0.0
1776462300,9989.05653314,9989.05653314,0.0
1776463200,9989.05653314,9989.05653314,0.0
1776464100,9988.93667794,9988.98161522,-0.04493727
1776465000,9989.25599977,9988.98161522,0.27438456
1776465900,9988.94560298,9988.94560298,0.0
1776466800,9988.94560298,9988.94560298,0.0
1776467700,9988.94560298,9988.94560298,0.0
1776468600,9988.94560298,9988.94560298,0.0
1776469500,9988.94560298,9988.94560298,0.0
1776470400,9988.94560298,9988.94560298,0.0
1776471300,9988.94560298,9988.94560298,0.0
1776472200,9988.94560298,9988.94560298,0.0
1776473100,9988.82574911,9988.87068588,-0.04493677
1776474000,9989.12085912,9988.79576935,0.32508976
1776474900,9988.92383107,9988.90146212,0.02236894
1776475800,9988.45089858,9988.45089858,0.0
1776476700,9988.45089858,9988.45089858,0.0
1776477600,9988.33105065,9988.3759852,-0.04493455
1776478500,9988.58397505,9988.3759852,0.20798985
1776479400,9988.36288092,9988.36288092,0.0
1776480300,9988.36288092,9988.36288092,0.0
1776481200,9988.36288092,9988.36288092,0.0
1776482100,9988.36288092,9988.36288092,0.0
1776483000,9988.36288092,9988.36288092,0.0
1776483900,9988.36288092,9988.36288092,0.0
1776484800,9988.36288092,9988.36288092,0.0
1776485700,9988.36288092,9988.36288092,0.0
1776486600,9988.00334299,9988.13814444,-0.13480145
1776487500,9988.01551667,9987.88874321,0.12677346
1776488400,9988.45066254,9987.88874321,0.56191933
1776489300,9987.97642695,9987.97642695,0.0
1776490200,9987.85658471,9987.90151712,-0.04493241
1776491100,9987.92443282,9987.90151712,0.0229157
1776492000,9988.026205,9987.90151712,0.12468787
1776492900,9988.04316703,9987.90151712,0.1416499
1776493800,9988.1449392,9987.90151712,0.24342207
1776494700,9987.99101433,9987.99101433,0.0
1776495600,9987.99101433,9987.99101433,0.0
1776496500,9987.99101433,9987.99101433,0.0
1776497400,9987.99101433,9987.99101433,0.0
1776498300,9987.99101433,9987.99101433,0.0
1776499200,9987.99101433,9987.99101433,0.0
1776500100,9987.99101433,9987.99101433,0.0
1776501000,9987.99101433,9987.99101433,0.0
1776501900,9987.99101433,9987.99101433,0.0
1776502800,9987.99101433,9987.99101433,0.0
1776503700,9987.63148979,9987.76628622,-0.13479643
1776504600,9987.75304721,9987.76628622,-0.013239
1776505500,9987.46264419,9987.35345364,0.10919056
1776506400,9986.53850778,9986.53850778,0.0
1776507300,9986.53850778,9986.53850778,0.0
1776508200,9986.53850778,9986.53850778,0.0
1776509100,9986.53850778,9986.53850778,0.0
1776510000,9986.53850778,9986.53850778,0.0
1776510900,9986.53850778,9986.53850778,0.0
1776511800,9986.53850778,9986.53850778,0.0
1776512700,9986.4186828,9986.46360874,-0.04492595
1776513600,9986.85154542,9986.46360874,0.38793667
1776514500,9986.69681782,9986.69681782,0.0
1776515400,9986.45716495,9986.54701793,-0.08985298
1776516300,9986.76797718,9986.54701793,0.22095925
1776517200,9986.24614325,9986.24614325,0.0
1776518100,9986.24614325,9986.24614325,0.0
1776519000,9986.24614325,9986.24614325,0.0
1776519900,9986.24614325,9986.24614325,0.0
1776520800,9986.24614325,9986.24614325,0.0
1776521700,9986.24614325,9986.24614325,0.0
1776522600,9986.24614325,9986.24614325,0.0
1776523500,9986.24614325,9986.24614325,0.0
1776524400,9986.24614325,9986.24614325,0.0
1776525300,9986.12632177,9986.1712464,-0.04492463
