ts,symbol,signal,permit,reason
1776390300,BTCUSDT,ENTER_LONG,True,allowed
1776390300,ETHUSDT,ENTER_LONG,True,allowed
1776390300,SOLUSDT,ENTER_LONG,True,allowed
1776391200,BTCUSDT,EXIT_LONG,True,exit
1776391200,ETHUSDT,EXIT_LONG,True,exit
1776391200,SOLUSDT,EXIT_LONG,True,exit
1776393000,ETHUSDT,ENTER_LONG,True,allowed
1776393000,SOLUSDT,ENTER_LONG,True,allowed
1776393900,SOLUSDT,EXIT_LONG,True,exit
1776394800,ETHUSDT,EXIT_LONG,True,exit
1776396600,ETHUSDT,ENTER_LONG,True,allowed
1776396600,SOLUSDT,ENTER_LONG,True,allowed
1776397500,ETHUSDT,EXIT_LONG,True,exit
1776397500,SOLUSDT,EXIT_LONG,True,exit
1776416400,BTCUSDT,ENTER_LONG,True,allowed
1776416400,ETHUSDT,ENTER_LONG,True,allowed
1776417300,SOLUSDT,ENTER_LONG,True,allowed
1776418200,BTCUSDT,EXIT_LONG,True,exit
1776418200,ETHUSDT,EXIT_LONG,True,exit
1776418200,SOLUSDT,EXIT_LONG,True,exit
1776419100,SOLUSDT,ENTER_LONG,True,allowed
1776420000,SOLUSDT,EXIT_LONG,True,exit
1776422700,SOLUSDT,ENTER_LONG,True,allowed
1776427200,ETHUSDT,ENTER_LONG,True,allowed
1776427200,SOLUSDT,EXIT_LONG,True,exit
1776429000,ETHUSDT,EXIT_LONG,True,exit
1776430800,ETHUSDT,ENTER_LONG,True,allowed
1776430800,SOLUSDT,ENTER_LONG,True,allowed
1776431700,SOLUSDT,EXIT_LONG,True,exit
1776432600,BTCUSDT,ENTER_LONG,True,allowed
1776432600,SOLUSDT,ENTER_LONG,True,allowed
1776434400,BTCUSDT,EXIT_LONG,True,exit
1776434400,ETHUSDT,EXIT_LONG,True,exit
1776434400,SOLUSDT,EXIT_LONG,True,exit
1776436200,BTCUSDT,ENTER_LONG,True,allowed
1776437100,BTCUSDT,EXIT_LONG,True,exit
1776438900,ETHUSDT,ENTER_LONG,True,allowed
1776439800,ETHUSDT,EXIT_LONG,True,exit
1776442500,BTCUSDT,ENTER_LONG,True,allowed
1776442500,SOLUSDT,ENTER_LONG,True,allowed
1776443400,BTCUSDT,EXIT_LONG,True,exit
1776443400,SOLUSDT,EXIT_LONG,True,exit
1776444300,SOLUSDT,ENTER_LONG,True,allowed
1776445200,SOLUSDT,EXIT_LONG,True,exit
1776447000,BTCUSDT,ENTER_LONG,True,allowed
1776447900,SOLUSDT,ENTER_LONG,True,allowed
1776448800,BTCUSDT,EXIT_LONG,True,exit
1776448800,SOLUSDT,EXIT_LONG,True,exit
1776450600,SOLUSDT,ENTER_LONG,True,allowed
1776451500,SOLUSDT,EXIT_LONG,True,exit
1776455100,BTCUSDT,ENTER_LONG,True,allowed
1776456900,BTCUSDT,EXIT_LONG,True,exit
1776458700,SOLUSDT,ENTER_LONG,True,allowed
1776460500,SOLUSDT,EXIT_LONG,True,exit
1776464100,ETHUSDT,ENTER_LONG,True,allowed
1776465900,ETHUSDT,EXIT_LONG,True,exit
1776473100,ETHUSDT,ENTER_LONG,True,allowed
1776474000,SOLUSDT,ENTER_LONG,True,allowed
