symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
BTCUSDT,1776390300,1776391200,74742.61606,74627.50503,0.00200689,-0.23101485,0.14988449,-0.38089935,signal
ETHUSDT,1776390300,1776391200,2335.150335,2330.820544,0.06423521,-0.27812504,0.14985981,-0.42798485,signal
SOLUSDT,1776390300,1776391200,88.296481,88.043579,1.69879647,-0.42962902,0.14978294,-0.57941196,signal
SOLUSDT,1776393000,1776393900,87.846346,87.763663,1.70727705,-0.14116279,0.14990747,-0.29107026,signal
ETHUSDT,1776393000,1776394800,2329.778724,2327.071669,0.06437486,-0.17426628,0.14989204,-0.32415832,signal
ETHUSDT,1776396600,1776397500,2328.738412,2323.762662,0.06439965,-0.32043658,0.14980973,-0.47024631,signal
SOLUSDT,1776396600,1776397500,87.756319,87.643699,1.70892335,-0.19245895,0.14987259,-0.34233154,signal
BTCUSDT,1776416400,1776418200,75791.03049,75617.308,0.00197857,-0.34372188,0.1497859,-0.49350777,signal
ETHUSDT,1776416400,1776418200,2355.686494,2352.913914,0.0636573,-0.17649495,0.14986839,-0.32636333,signal
SOLUSDT,1776417300,1776418200,89.406814,88.443459,1.67722685,-1.61576487,0.14914763,-1.7649125,signal
SOLUSDT,1776419100,1776420000,88.676595,88.17354,1.69062633,-0.85047803,0.14949375,-0.99997178,signal
SOLUSDT,1776422700,1776427200,87.656289,88.103561,1.71013385,0.76489499,0.15028643,0.61460855,signal
ETHUSDT,1776427200,1776429000,2356.146632,2354.403467,0.06362204,-0.11090372,0.14984741,-0.26075113,signal
SOLUSDT,1776430800,1776431700,89.706904,89.483147,1.67108844,-0.37391774,0.14972121,-0.52363895,signal
BTCUSDT,1776432600,1776434400,76875.75581,77009.19031,0.0019499,0.26018442,0.15003041,0.11015401,signal
ETHUSDT,1776430800,1776434400,2394.308077,2427.341579,0.0626107,2.06825055,0.15094342,1.91730713,signal
SOLUSDT,1776432600,1776434400,89.756919,89.703081,1.67005723,-0.08991254,0.14985424,-0.23976678,signal
BTCUSDT,1776436200,1776437100,77953.87915,77848.93831,0.00192329,-0.20183213,0.14982734,-0.35165947,signal
ETHUSDT,1776438900,1776439800,2444.63317,2435.56911,0.06132739,-0.55587518,0.14964504,-0.70552022,signal
BTCUSDT,1776442500,1776443400,78136.23384,78044.67957,0.0019186,-0.17565628,0.14982457,-0.32548085,signal
SOLUSDT,1776442500,1776443400,90.267072,90.202931,1.66075259,-0.10652233,0.14985801,-0.25638034,signal
SOLUSDT,1776444300,1776445200,90.377105,89.683087,1.65864651,-1.15113054,0.1493281,-1.30045864,signal
BTCUSDT,1776447000,1776448800,77415.31763,77062.8742,0.0019361,-0.6823674,0.14954298,-0.83191037,signal
SOLUSDT,1776447900,1776448800,89.676895,88.87333,1.6713674,-1.34305235,0.14921151,-1.49226386,signal
SOLUSDT,1776450600,1776451500,89.346796,89.103261,1.67716479,-0.40844833,0.14964508,-0.5580934,signal
BTCUSDT,1776455100,1776456900,77390.01004,77303.20208,0.00193618,-0.16807577,0.14975689,-0.31783266,signal
SOLUSDT,1776458700,1776460500,88.976685,89.053276,1.68399353,0.12897875,0.14990065,-0.0209219,signal
ETHUSDT,1776464100,1776465900,2430.618967,2431.250406,0.06164514,0.03892515,0.14985531,-0.11093016,signal
ETHUSDT,1776473100,1776474900,2419.22555,2422.143139,0.06193477,0.18070021,0.14992453,0.03077568,signal
