episode_id,symbol,side,hybrid_score,raw_edge_bps,fee_drag_bps,net_edge_bps,notional_usd,fees_usd,friction_killed,duration_hours
EP_0234,BTCUSDT,LONG,0.49503,3.84,8.0,-4.16,128.49,0.1028,True,0.91
EP_0235,BTCUSDT,LONG,0.44281,48.71,8.02,40.7,127.85,0.1025,False,3.62
EP_0236,BTCUSDT,LONG,0.4395,43.81,8.02,35.79,131.34,0.1053,False,0.3
EP_0237,BTCUSDT,LONG,0.45649,382.37,6.15,376.22,132.99,0.0818,False,6.66
EP_0238,BTCUSDT,LONG,0.47108,12.14,8.0,4.14,131.58,0.1053,False,0.03
EP_0239,BTCUSDT,LONG,0.4958,-19.6,6.99,-26.59,1104.88,0.7725,False,8.35
EP_0240,BTCUSDT,LONG,0.4595,20.83,8.01,12.82,136.93,0.1097,False,4.75
EP_0241,BTCUSDT,LONG,0.41973,27.18,5.34,21.84,212.35,0.1134,False,0.51
EP_0242,BTCUSDT,LONG,0.54562,-221.62,6.83,-228.45,1907.76,1.3036,False,4.49
EP_0243,BTCUSDT,LONG,0.51559,46.72,6.82,39.9,363.93,0.2483,False,9.59
EP_0244,BTCUSDT,LONG,0.50893,4.74,7.8,-3.06,1498.67,1.1692,True,5.28
EP_0245,BTCUSDT,LONG,0.49906,-6.02,8.0,-14.02,149.49,0.1196,False,0.08
EP_0246,BTCUSDT,LONG,0.49529,-101.17,7.96,-109.13,846.32,0.6736,False,2.57
EP_0247,BTCUSDT,LONG,0.50859,0.59,8.0,-7.41,1414.17,1.1314,True,10.14
EP_0248,BTCUSDT,LONG,0.53271,-25.79,7.99,-33.78,143.05,0.1143,False,0.15
EP_0249,BTCUSDT,LONG,0.5323,-0.31,8.0,-8.31,142.32,0.1139,False,0.13
EP_0250,BTCUSDT,LONG,0.53196,-85.87,7.96,-93.84,427.63,0.3406,False,6.34
EP_0251,BTCUSDT,LONG,0.49879,-115.57,18.5,-134.07,430.91,0.7971,False,3.83
EP_0325,SOLUSDT,LONG,0.42762,-47.6,26.25,-73.85,7.81,0.0205,False,1.22
EP_0326,SOLUSDT,LONG,0.45758,420.7,6.43,414.27,372.56,0.2397,False,11.82
EP_0327,SOLUSDT,LONG,0.51682,30.16,25.56,4.61,0.9,0.0023,False,1.48
EP_0328,SOLUSDT,LONG,0.50757,-10.21,8.0,-18.21,48.49,0.0388,False,0.02
EP_0329,SOLUSDT,LONG,0.50735,-27.22,7.98,-35.2,48.49,0.0387,False,0.24
EP_0330,SOLUSDT,LONG,0.50131,-18.19,8.0,-26.19,48.37,0.0387,False,0.04
EP_0331,SOLUSDT,LONG,0.49359,-11.38,7.99,-19.36,48.34,0.0386,False,0.09
EP_0332,SOLUSDT,LONG,0.4918,72.82,8.03,64.79,48.34,0.0388,False,0.85
EP_0333,SOLUSDT,LONG,0.45738,-14.57,8.0,-22.56,48.89,0.0391,False,0.07
EP_0334,SOLUSDT,LONG,0.45592,-2.25,8.01,-10.26,48.82,0.0391,False,0.01
EP_0335,SOLUSDT,LONG,0.34276,-48.96,7.99,-56.95,48.31,0.0386,False,0.1
EP_0336,SOLUSDT,LONG,0.52081,-11.4,8.0,-19.39,48.26,0.0386,False,0.18
EP_0337,SOLUSDT,LONG,0.44325,0.0,8.0,-8.0,48.23,0.0386,False,0.03
EP_0338,SOLUSDT,LONG,0.45016,-890.66,7.65,-898.31,48.25,0.0369,False,55.94
EP_0339,SOLUSDT,LONG,0.447,-167.83,6.93,-174.76,96.67,0.067,False,2.71
EP_0340,SOLUSDT,LONG,0.42644,-218.5,7.9,-226.4,48.34,0.0382,False,1.5
EP_0341,SOLUSDT,LONG,0.49273,-127.93,7.94,-135.87,46.83,0.0372,False,0.34
EP_0342,SOLUSDT,LONG,0.49747,-29.44,7.98,-37.42,47.12,0.0376,False,4.43
EP_0343,SOLUSDT,LONG,0.49381,-85.61,7.96,-93.57,47.01,0.0374,False,4.13
EP_0344,SOLUSDT,LONG,0.51912,-206.93,8.64,-215.58,1600.34,1.3831,False,10.16
EP_0345,SOLUSDT,LONG,0.40978,-38.33,9.98,-48.3,180.6,0.1802,False,1.33
EP_0346,SOLUSDT,LONG,0.4158,-60.48,11.95,-72.43,90.28,0.1079,False,0.19
