bucket,pred_lo,pred_hi,mean_predicted,realized_frequency,gap,n
B1,0.4518,0.4844,0.4732,0.4,0.0732,15
B2,0.4854,0.4996,0.4919,0.3333,0.1586,15
B3,0.4997,0.5087,0.5046,0.1333,0.3712,15
B4,0.5095,0.52,0.5172,0.2667,0.2506,15
B5,0.5223,0.5326,0.5272,0.0667,0.4605,15
B6,0.534,0.5469,0.5394,0.2667,0.2727,15
B7,0.5477,0.5824,0.5712,0.3333,0.2379,15
B8,0.5827,0.5899,0.5861,0.4,0.1861,15
B9,0.59,0.6009,0.5953,0.4,0.1953,15
B10,0.6011,0.6126,0.6054,0.1333,0.4721,15
B11,0.613,0.6229,0.6184,0.25,0.3684,4
