episode_id,symbol,side,entry_ts,exit_ts,duration_hours,avg_entry_price,avg_exit_price,gross_pnl,fees,net_pnl,exit_reason
EP_0001,BTCUSDT,LONG,2025-12-09T21:43:56.526778+00:00,2025-12-10T04:19:38.202309+00:00,6.59,92689.8,92606.4,-0.1668,0.1482,-0.315,THESIS_INVALIDATED
EP_0002,BTCUSDT,LONG,2025-12-10T04:19:47.407006+00:00,2025-12-10T04:20:15.548113+00:00,0.01,92655.0,92550.1,-0.2098,0.1482,-0.358,THESIS_INVALIDATED
EP_0003,BTCUSDT,LONG,2025-12-10T04:20:29.786569+00:00,2025-12-10T04:38:51.521887+00:00,0.31,92611.6,92504.4,-0.2144,0.1481,-0.3625,THESIS_INVALIDATED
EP_0004,BTCUSDT,LONG,2025-12-10T04:39:07.138556+00:00,2025-12-10T04:40:33.568238+00:00,0.02,92932.5,92504.4,-0.8562,0.1483,-1.0045,THESIS_INVALIDATED
EP_0005,BTCUSDT,LONG,2025-12-10T04:40:41.759010+00:00,2025-12-10T04:42:14.796253+00:00,0.03,92521.7,92529.8,0.0162,0.148,-0.1318,THESIS_INVALIDATED
EP_0006,BTCUSDT,LONG,2025-12-10T04:42:32.547789+00:00,2025-12-10T11:06:02.463316+00:00,6.39,92529.9,92288.5,-0.4828,0.1479,-0.6307,TAKE_PROFIT
EP_0007,BTCUSDT,LONG,2025-12-10T11:06:22.160825+00:00,2025-12-10T11:22:29.690262+00:00,0.27,93073.0,92280.0,-2.379,0.2224,-2.6014,TAKE_PROFIT
EP_0008,BTCUSDT,LONG,2025-12-10T11:22:47.526336+00:00,2025-12-10T11:24:08.747287+00:00,0.02,92309.2,92261.3,-0.0958,0.1477,-0.2435,TAKE_PROFIT
EP_0009,BTCUSDT,LONG,2025-12-10T11:24:28.498785+00:00,2025-12-10T12:06:11.598593+00:00,0.7,92279.6,92033.1,-0.493,0.1475,-0.6405,TAKE_PROFIT
EP_0010,BTCUSDT,LONG,2025-12-10T12:06:29.983401+00:00,2025-12-10T12:07:47.343771+00:00,0.02,92039.0,91900.0,-0.278,0.1472,-0.4252,TAKE_PROFIT
EP_0011,BTCUSDT,LONG,2025-12-10T12:08:04.219022+00:00,2025-12-10T12:09:44.264087+00:00,0.03,92063.3,92019.7,-0.0872,0.1473,-0.2345,TAKE_PROFIT
EP_0012,BTCUSDT,LONG,2025-12-10T12:10:03.302254+00:00,2025-12-10T13:06:40.473446+00:00,0.94,92020.2,91942.1,-0.1562,0.1472,-0.3034,TAKE_PROFIT
EP_0013,BTCUSDT,LONG,2025-12-10T13:06:59.736901+00:00,2025-12-10T13:49:00.818840+00:00,0.7,91993.4,91997.4,0.008,0.1472,-0.1392,TAKE_PROFIT
EP_0014,BTCUSDT,LONG,2025-12-10T13:49:17.879266+00:00,2025-12-10T13:56:05.653054+00:00,0.11,92000.0,92019.4,0.0388,0.1472,-0.1084,TAKE_PROFIT
EP_0015,BTCUSDT,LONG,2025-12-10T13:56:30.578109+00:00,2025-12-10T13:57:48.914570+00:00,0.02,92025.9,92002.4,-0.047,0.1472,-0.1942,TAKE_PROFIT
EP_0016,BTCUSDT,LONG,2025-12-10T13:58:07.700834+00:00,2025-12-10T14:01:25.856579+00:00,0.06,92045.4,92032.0,-0.0268,0.1473,-0.1741,TAKE_PROFIT
EP_0017,BTCUSDT,LONG,2025-12-10T14:01:46.642343+00:00,2025-12-10T14:06:43.829276+00:00,0.08,92033.9,91978.0,-0.1118,0.1472,-0.259,TAKE_PROFIT
EP_0018,BTCUSDT,LONG,2025-12-10T14:07:04.254916+00:00,2025-12-10T14:09:52.525248+00:00,0.05,91978.5,91980.7,0.0044,0.1472,-0.1428,TAKE_PROFIT
EP_0019,BTCUSDT,LONG,2025-12-10T14:10:12.716763+00:00,2025-12-10T14:11:58.331733+00:00,0.03,91990.0,91977.5,-0.025,0.1472,-0.1722,TAKE_PROFIT
EP_0020,BTCUSDT,LONG,2025-12-10T14:12:19.913850+00:00,2025-12-10T14:49:20.407876+00:00,0.62,91977.9,91809.9,-0.336,0.147,-0.483,TAKE_PROFIT
EP_0021,BTCUSDT,LONG,2025-12-11T16:38:42.623207+00:00,2025-12-11T16:44:32.117976+00:00,0.1,89735.6333,89888.5,0.4586,0.2155,0.2431,TAKE_PROFIT
EP_0022,BTCUSDT,LONG,2025-12-11T16:44:53.669246+00:00,2025-12-11T16:47:17.900236+00:00,0.04,89963.7,90021.7333,0.1741,0.216,-0.0419,THESIS_INVALIDATED
EP_0023,BTCUSDT,LONG,2025-12-11T16:47:31.772023+00:00,2025-12-11T17:26:22.173900+00:00,0.65,90138.5667,89851.8667,-0.8601,0.216,-1.0761,THESIS_INVALIDATED
EP_0024,BTCUSDT,LONG,2025-12-11T17:26:36.216211+00:00,2025-12-11T17:28:18.209274+00:00,0.03,90118.6,90157.0,0.0768,0.1442,-0.0674,THESIS_INVALIDATED
EP_0025,BTCUSDT,LONG,2025-12-11T17:28:33.878488+00:00,2025-12-11T17:32:00.601034+00:00,0.06,90164.2,90033.4,-0.2616,0.1442,-0.4058,TAKE_PROFIT
EP_0026,BTCUSDT,LONG,2025-12-11T17:33:59.716446+00:00,2025-12-11T17:37:51.921639+00:00,0.06,89946.3,90077.9,0.2632,0.144,0.1192,THESIS_INVALIDATED
EP_0027,BTCUSDT,LONG,2025-12-11T17:38:06.852589+00:00,2025-12-11T17:39:47.849965+00:00,0.03,90132.2,90141.2,0.018,0.1442,-0.1262,THESIS_INVALIDATED
EP_0028,BTCUSDT,LONG,2025-12-11T17:40:03.574545+00:00,2025-12-11T17:46:43.235709+00:00,0.11,90146.8,90043.2,-0.2072,0.1442,-0.3514,TAKE_PROFIT
EP_0029,BTCUSDT,LONG,2025-12-11T17:47:14.556567+00:00,2025-12-11T17:47:53.748756+00:00,0.01,90092.5,90067.7,-0.0496,0.1441,-0.1937,THESIS_INVALIDATED
EP_0030,BTCUSDT,LONG,2025-12-11T17:48:09.962939+00:00,2025-12-11T17:49:33.335340+00:00,0.02,90092.0,89990.4,-0.2032,0.1441,-0.3473,TAKE_PROFIT
EP_0031,BTCUSDT,LONG,2025-12-11T17:49:53.703831+00:00,2025-12-11T17:53:44.242367+00:00,0.06,90006.5,89990.0,-0.033,0.144,-0.177,THESIS_INVALIDATED
EP_0032,BTCUSDT,LONG,2025-12-11T17:54:00.249433+00:00,2025-12-11T18:04:17.514315+00:00,0.17,89993.4,90114.8,0.2428,0.1441,0.0987,THESIS_INVALIDATED
EP_0033,BTCUSDT,LONG,2025-12-11T18:04:32.867474+00:00,2025-12-11T18:05:12.855643+00:00,0.01,90088.7,90100.0,0.0226,0.1442,-0.1216,THESIS_INVALIDATED
EP_0034,BTCUSDT,LONG,2025-12-11T18:05:29.059164+00:00,2025-12-11T18:07:12.910228+00:00,0.03,90102.5,90178.7,0.1524,0.1442,0.0082,THESIS_INVALIDATED
EP_0035,BTCUSDT,LONG,2025-12-11T18:07:28.666696+00:00,2025-12-11T18:09:09.557632+00:00,0.03,90174.6,90154.3,-0.0406,0.1443,-0.1849,THESIS_INVALIDATED
EP_0036,BTCUSDT,LONG,2025-12-11T18:09:25.953782+00:00,2025-12-11T18:11:07.914924+00:00,0.03,90170.4,90190.2,0.0396,0.1443,-0.1047,THESIS_INVALIDATED
EP_0037,BTCUSDT,LONG,2025-12-11T18:11:25.492499+00:00,2025-12-11T18:12:07.973969+00:00,0.01,90191.0,90174.9,-0.0322,0.1443,-0.1765,THESIS_INVALIDATED
EP_0038,BTCUSDT,LONG,2025-12-11T18:12:24.718772+00:00,2025-12-11T18:14:02.061517+00:00,0.03,90191.1,90355.6,0.329,0.1444,0.1846,THESIS_INVALIDATED
EP_0039,BTCUSDT,LONG,2025-12-11T18:14:20.533374+00:00,2025-12-11T18:16:04.043670+00:00,0.03,90356.7,90308.9,-0.0956,0.1445,-0.2401,THESIS_INVALIDATED
EP_0040,BTCUSDT,LONG,2025-12-11T18:16:22.087002+00:00,2025-12-11T18:18:15.787995+00:00,0.03,90314.2,90365.3,0.1533,0.2168,-0.0635,THESIS_INVALIDATED
EP_0041,BTCUSDT,LONG,2025-12-11T18:18:28.778682+00:00,2025-12-11T18:19:19.722210+00:00,0.01,90371.5,90366.1,-0.0162,0.2169,-0.2331,THESIS_INVALIDATED
EP_0042,BTCUSDT,LONG,2025-12-11T18:19:31.712284+00:00,2025-12-11T18:24:33.561203+00:00,0.08,90368.0,90234.0,-0.402,0.2167,-0.6187,THESIS_INVALIDATED
