Symbol,Target Vol,Rebalance Period,Sharpe,Max Drawdown,CAGR,Trend Filter
INJUSDT,0.005,1,4.488280534834869,-0.022948644610756852,0.5105917386127632,True
INJUSDT,0.005,3,4.419090152156506,-0.027255340124571648,0.5428245872568056,True
INJUSDT,0.005,5,5.1508405992831845,-0.037571538208804545,0.5768846000048791,True
INJUSDT,0.005,10,4.442784735493875,-0.027602751387318603,0.4824725664583285,True
INJUSDT,0.01,1,4.505379005316345,-0.04537064893204268,1.2818874007651302,True
INJUSDT,0.01,3,4.430211705136168,-0.05376782668383673,1.3803077070441354,True
INJUSDT,0.01,5,5.174086546910203,-0.0737314559342328,1.4865650417325527,True
INJUSDT,0.01,10,4.470268312196759,-0.05444359089048734,1.1977249103015462,True
INJUSDT,0.015,1,4.521427283161687,-0.06727809864469858,2.4470467899731148,True
INJUSDT,0.015,3,4.43957253149252,-0.07955770640438176,2.672397255664564,True
INJUSDT,0.015,5,5.196840591872106,-0.10853278992921345,2.9210261212185515,True
INJUSDT,0.015,10,4.497271592532814,-0.08054354937382302,2.2580668881441306,True
INJUSDT,0.02,1,4.533379687534173,-0.0886828020795708,4.180123350729144,True
INJUSDT,0.02,3,4.441274268385538,-0.10464467418137036,4.63935378781765,True
INJUSDT,0.02,5,5.225260201026312,-0.13631766063263728,5.19120347834154,True
INJUSDT,0.02,10,4.525202846191295,-0.10592307719192373,3.8310021716491374,True
